question,answer,category
"Where is BYV located?","BYV is headquartered in Dhaka, Bangladesh (Bashundhara R/A). However, we operate as a cloud-first engineering collective, serving clients across North America, Europe, and Asia with 24/7 overlap capabilities.",company
"What makes BYV different from other agencies?","Unlike traditional outsourcing shops that rely on junior freelancers and templates, BYV is a collective of Senior Team Leads and Computer Science graduates from top-tier firms. We build custom, enterprise-grade architectures (Next.js, LangGraph) focused on scalability and security, not just quick fixes.",company
"Do you work with clients in different time zones?","Yes. Our engineering teams operate in shifts to ensure significant overlap with US (EST/PST) and European (CET/GMT) time zones for meetings and deployment support.",process
"What is your pricing model?","We offer two models: 1. Project-Based (Fixed Price) for defined scopes like building an MVP or Website. 2. Retainer (Dedicated Team) for long-term AI R&D and continuous development. We do not charge hourly rates to avoid inefficiency incentives.",pricing
"How much does a custom AI Agent cost?","Simple RAG chatbots start around $2,500. Complex Autonomous Agents (that integrate with CRM/Email) typically range from $5,000 to $15,000 depending on the complexity of the logic and data integration.",pricing
"How much does a Next.js website cost?","Enterprise-grade marketing platforms typically range from $3,000 to $8,000. This includes SEO optimization, CMS integration, and high-performance server architecture.",pricing
"Do you provide post-launch support?","Yes. We offer 'Continuous Intelligence' maintenance packages. This ensures your software stays secure, your servers stay online, and your AI models are periodically updated with new data.",support
"Is my data safe with you?","Security is our priority. We are SOC-2 alignment ready. We use AES-256 encryption, strictly limit access via Role-Based Access Control (RBAC), and can deploy on-premise for highly sensitive clients. We never use client data to train public models.",security
"Do you sign NDAs?","Yes. We sign strict Non-Disclosure Agreements (NDAs) with all corporate clients before the first line of code is written. Your Intellectual Property (IP) belongs 100% to you.",legal
"What technologies do you use?","We use a modern, type-safe stack: Next.js (React) for frontend, Python (FastAPI) for backend, PostgreSQL/Vector DBs for data, and LangGraph for AI orchestration. We deploy on AWS or Vercel.",tech
"Can you fix my existing legacy website?","We specialize in modernization. We can audit your legacy PHP/WordPress site and migrate it to a modern, high-performance Next.js architecture, often improving speed by 300%.",services
"Do you have experience in the Garment Industry?","Yes. We have specific domain expertise in RMG (Ready-Made Garments), building production dashboards, inventory tracking systems, and compliance bots for factory floors.",industry
"How do I start a project?","The process starts with a Technical Discovery Call. Please provide your email address in this chat, and our Principal Architect will reach out to schedule a 30-minute audit.",sales
"Can I see your portfolio?","We can share specific case studies relevant to your industry during our consultation call. Due to strict NDAs with enterprise clients, we do not publish all codebases publicly.",sales
"Do you outsource your work?","No. All engineering is done in-house by our full-time team in Dhaka. We maintain strict quality control and do not subcontract to unknown third parties.",team
"What happens if I am not satisfied?","We work in Agile Sprints with weekly demos. You see progress every week. If the direction isn't right, we pivot immediately. We focus on long-term partnerships, not hit-and-run projects.",process
"Can you integrate AI into my existing CRM?","Yes. Our agents can connect to Salesforce, HubSpot, Zoho, and other CRMs via API to automate data entry and lead management.",tech
